rater,idx,tts,emotion,wav_path,rating,naturalness
usr18,idx51,openai,sad,output/sentences/openai/fold_1_nova/51.wav,3,3
usr18,idx16,azure,disgusted,output/sentences/azure/fold_4_en-US-AriaNeural/16.wav,6,7
usr18,idx8,openai,angry,output/sentences/openai/fold_5_verse/8.wav,7,7
usr18,idx50,azure,neutral,output/sentences/azure/fold_4_en-US-AriaNeural/50.wav,6,5
usr18,idx68,genai,surprised,output/sentences/genai/fold_2_leda/68.wav,7,7
usr18,idx66,azure,surprised,output/sentences/azure/fold_5_en-US-SaraNeural/66.wav,4,7
usr18,idx59,openai,sad,output/sentences/openai/fold_1_nova/59.wav,3,7
usr18,idx39,cosyvoice2,happy,output/sentences/cosyvoice2/fold_3_echo/39.wav,4,7
usr18,idx28,openai,fearful,output/sentences/openai/fold_1_nova/28.wav,5,4
usr18,idx4,openai,angry,output/sentences/openai/fold_2_coral/4.wav,7,7
usr18,idx26,openai,fearful,output/sentences/openai/fold_4_onyx/26.wav,5,7
usr18,idx8,genai,angry,output/sentences/genai/fold_2_leda/8.wav,7,7
usr18,idx38,genai,happy,output/sentences/genai/fold_3_fenrir/38.wav,5,6
usr18,idx68,cosyvoice2,surprised,output/sentences/cosyvoice2/fold_4_onyx/68.wav,3,3
usr18,idx51,genai,sad,output/sentences/genai/fold_4_kore/51.wav,4,4
usr18,idx47,genai,neutral,output/sentences/genai/fold_2_leda/47.wav,7,6
usr18,idx4,azure,angry,output/sentences/azure/fold_1_en-US-JennyNeural/4.wav,6,6
usr18,idx68,openai,surprised,output/sentences/openai/fold_5_verse/68.wav,7,7
usr18,idx14,genai,disgusted,output/sentences/genai/fold_4_kore/14.wav,7,7
usr18,idx68,azure,surprised,output/sentences/azure/fold_5_en-US-SaraNeural/68.wav,5,3
usr18,idx51,cosyvoice2,sad,output/sentences/cosyvoice2/fold_2_coral/51.wav,3,7
usr18,idx51,azure,sad,output/sentences/azure/fold_4_en-US-AriaNeural/51.wav,6,7
usr18,idx47,cosyvoice2,neutral,output/sentences/cosyvoice2/fold_5_verse/47.wav,6,3
usr18,idx16,genai,disgusted,output/sentences/genai/fold_4_kore/16.wav,7,7
usr18,idx14,azure,disgusted,output/sentences/azure/fold_2_en-US-DavisNeural/14.wav,5,2
usr18,idx66,cosyvoice2,surprised,output/sentences/cosyvoice2/fold_3_echo/66.wav,5,7
usr18,idx28,genai,fearful,output/sentences/genai/fold_3_fenrir/28.wav,7,7
usr18,idx47,azure,neutral,output/sentences/azure/fold_3_en-US-GuyNeural/47.wav,6,5
usr18,idx50,genai,neutral,output/sentences/genai/fold_2_leda/50.wav,7,7
usr18,idx38,cosyvoice2,happy,output/sentences/cosyvoice2/fold_1_nova/38.wav,5,6
usr18,idx39,genai,happy,output/sentences/genai/fold_4_kore/39.wav,7,6
usr18,idx14,openai,disgusted,output/sentences/openai/fold_5_verse/14.wav,7,6
usr18,idx59,genai,sad,output/sentences/genai/fold_1_zephyr/59.wav,4,3
usr18,idx14,cosyvoice2,disgusted,output/sentences/cosyvoice2/fold_4_onyx/14.wav,4,2
usr18,idx8,azure,angry,output/sentences/azure/fold_5_en-US-SaraNeural/8.wav,5,6
usr18,idx50,openai,neutral,output/sentences/openai/fold_5_verse/50.wav,6,5
usr18,idx8,cosyvoice2,angry,output/sentences/cosyvoice2/fold_5_verse/8.wav,7,7
usr18,idx26,cosyvoice2,fearful,output/sentences/cosyvoice2/fold_2_coral/26.wav,7,7
usr18,idx39,azure,happy,output/sentences/azure/fold_5_en-US-SaraNeural/39.wav,7,6
usr18,idx4,cosyvoice2,angry,output/sentences/cosyvoice2/fold_3_echo/4.wav,5,7
usr18,idx26,azure,fearful,output/sentences/azure/fold_2_en-US-DavisNeural/26.wav,6,2
usr18,idx16,cosyvoice2,disgusted,output/sentences/cosyvoice2/fold_4_onyx/16.wav,5,4
usr18,idx66,openai,surprised,output/sentences/openai/fold_2_coral/66.wav,4,7
usr18,idx66,genai,surprised,output/sentences/genai/fold_4_kore/66.wav,7,7
usr18,idx50,cosyvoice2,neutral,output/sentences/cosyvoice2/fold_5_verse/50.wav,7,5
usr18,idx16,openai,disgusted,output/sentences/openai/fold_1_nova/16.wav,5,6
usr18,idx26,genai,fearful,output/sentences/genai/fold_1_zephyr/26.wav,7,7
usr18,idx59,cosyvoice2,sad,output/sentences/cosyvoice2/fold_4_onyx/59.wav,6,5
usr18,idx28,cosyvoice2,fearful,output/sentences/cosyvoice2/fold_3_echo/28.wav,6,6
usr18,idx59,azure,sad,output/sentences/azure/fold_4_en-US-AriaNeural/59.wav,5,6
usr18,idx38,openai,happy,output/sentences/openai/fold_5_verse/38.wav,7,7
usr18,idx4,genai,angry,output/sentences/genai/fold_5_charon/4.wav,7,6
usr18,idx47,openai,neutral,output/sentences/openai/fold_3_echo/47.wav,6,7
usr18,idx38,azure,happy,output/sentences/azure/fold_5_en-US-SaraNeural/38.wav,6,4
usr18,idx39,openai,happy,output/sentences/openai/fold_5_verse/39.wav,6,6
usr18,idx28,azure,fearful,output/sentences/azure/fold_3_en-US-GuyNeural/28.wav,6,6
