group,emotion,wav_path,rating,naturalness
group_1,angry,output/sentences/azure/fold_3_en-US-GuyNeural/4.wav,2.6,3.4
group_1,angry,output/sentences/azure/fold_4_en-US-AriaNeural/8.wav,3.8,3.0
group_1,angry,output/sentences/cosyvoice2/fold_2_coral/4.wav,4.8,5.4
group_1,angry,output/sentences/cosyvoice2/fold_3_echo/8.wav,2.0,2.8
group_1,angry,output/sentences/genai/fold_1_zephyr/4.wav,6.2,5.8
group_1,angry,output/sentences/genai/fold_4_kore/8.wav,6.6,6.0
group_1,angry,output/sentences/openai/fold_3_echo/8.wav,5.2,3.8
group_1,angry,output/sentences/openai/fold_4_onyx/4.wav,3.6,3.8
group_1,disgusted,output/sentences/azure/fold_1_en-US-JennyNeural/14.wav,3.0,3.2
group_1,disgusted,output/sentences/azure/fold_2_en-US-DavisNeural/16.wav,2.8,3.4
group_1,disgusted,output/sentences/cosyvoice2/fold_3_echo/16.wav,1.6,2.4
group_1,disgusted,output/sentences/cosyvoice2/fold_5_verse/14.wav,3.0,3.2
group_1,disgusted,output/sentences/genai/fold_1_zephyr/16.wav,4.6,4.6
group_1,disgusted,output/sentences/genai/fold_2_leda/14.wav,5.0,4.6
group_1,disgusted,output/sentences/openai/fold_4_onyx/14.wav,5.0,5.0
group_1,disgusted,output/sentences/openai/fold_4_onyx/16.wav,3.4,3.0
group_1,fearful,output/sentences/azure/fold_1_en-US-JennyNeural/28.wav,5.6,3.8
group_1,fearful,output/sentences/azure/fold_4_en-US-AriaNeural/26.wav,5.6,5.4
group_1,fearful,output/sentences/cosyvoice2/fold_1_nova/28.wav,2.0,2.4
group_1,fearful,output/sentences/cosyvoice2/fold_5_verse/26.wav,2.0,2.4
group_1,fearful,output/sentences/genai/fold_4_kore/26.wav,6.8,5.4
group_1,fearful,output/sentences/genai/fold_5_charon/28.wav,6.6,5.4
group_1,fearful,output/sentences/openai/fold_1_nova/26.wav,4.2,3.8
group_1,fearful,output/sentences/openai/fold_3_echo/28.wav,2.8,2.8
group_1,happy,output/sentences/azure/fold_1_en-US-JennyNeural/39.wav,4.2,4.8
group_1,happy,output/sentences/azure/fold_4_en-US-AriaNeural/38.wav,4.4,3.2
group_1,happy,output/sentences/cosyvoice2/fold_2_coral/38.wav,2.2,3.4
group_1,happy,output/sentences/cosyvoice2/fold_4_onyx/39.wav,2.0,2.8
group_1,happy,output/sentences/genai/fold_5_charon/38.wav,6.2,4.8
group_1,happy,output/sentences/genai/fold_5_charon/39.wav,6.4,5.8
group_1,happy,output/sentences/openai/fold_2_coral/39.wav,4.6,4.4
group_1,happy,output/sentences/openai/fold_3_echo/38.wav,2.0,2.6
group_1,neutral,output/sentences/azure/fold_1_en-US-JennyNeural/47.wav,5.8,4.8
group_1,neutral,output/sentences/azure/fold_5_en-US-SaraNeural/50.wav,6.6,5.4
group_1,neutral,output/sentences/cosyvoice2/fold_2_coral/50.wav,6.4,4.8
group_1,neutral,output/sentences/cosyvoice2/fold_4_onyx/47.wav,5.0,2.8
group_1,neutral,output/sentences/genai/fold_3_fenrir/50.wav,6.0,4.8
group_1,neutral,output/sentences/genai/fold_5_charon/47.wav,6.0,5.6
group_1,neutral,output/sentences/openai/fold_2_coral/50.wav,5.6,4.4
group_1,neutral,output/sentences/openai/fold_5_verse/47.wav,5.6,4.6
group_1,sad,output/sentences/azure/fold_1_en-US-JennyNeural/51.wav,4.4,3.6
group_1,sad,output/sentences/azure/fold_2_en-US-DavisNeural/59.wav,3.4,2.8
group_1,sad,output/sentences/cosyvoice2/fold_1_nova/51.wav,4.0,4.6
group_1,sad,output/sentences/cosyvoice2/fold_1_nova/59.wav,2.4,3.0
group_1,sad,output/sentences/genai/fold_4_kore/59.wav,5.2,4.4
group_1,sad,output/sentences/genai/fold_5_charon/51.wav,5.4,3.0
group_1,sad,output/sentences/openai/fold_2_coral/51.wav,5.2,4.4
group_1,sad,output/sentences/openai/fold_2_coral/59.wav,4.4,5.0
group_1,surprised,output/sentences/azure/fold_1_en-US-JennyNeural/66.wav,4.2,3.8
group_1,surprised,output/sentences/azure/fold_4_en-US-AriaNeural/68.wav,4.0,3.6
group_1,surprised,output/sentences/cosyvoice2/fold_2_coral/68.wav,4.4,4.4
group_1,surprised,output/sentences/cosyvoice2/fold_5_verse/66.wav,3.6,3.2
group_1,surprised,output/sentences/genai/fold_5_charon/66.wav,5.8,5.6
group_1,surprised,output/sentences/genai/fold_5_charon/68.wav,5.0,3.4
group_1,surprised,output/sentences/openai/fold_1_nova/68.wav,6.2,5.0
group_1,surprised,output/sentences/openai/fold_5_verse/66.wav,6.0,5.2
